id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
20179373,Hermosa habitación doble en Villa de Gracia BCN,65525158,Andrea,el Camp d'en Grassot i Gràcia Nova,41.40407,2.16297,Private room,2,1,2017-08-24,0.02,1,0,35
26114499,Plaza España room to rent,180578800,Monika G,la Font de la Guatlla,41.37058,2.14521,Private room,1,17,2019-05-27,0.53,1,0,35
23745873,Barcelona - Oasis de Grácia,35712072,Trize,la Vila de Gràcia,41.40352,2.15954,Entire home/apt,32,1,2018-09-06,0.03,21,364,80
46119173,Bright Apartment with view of Sagrada Familia,346367515,Stay Ukio,la Sagrada Família,41.40111,2.17267,Entire home/apt,32,0,,,16,127,65
36650902,Atakama by StaYourWay (longstay apartment),9916442,Stayourway Bcn,el Barri Gòtic,41.38518,2.17194,Entire home/apt,32,3,2021-01-29,0.21,9,1,34
29504234,Duplex  totalmente reformado en el centro de BCN,183340,Teresa,Sant Antoni,41.38105,2.16297,Entire home/apt,30,1,2019-12-15,0.07,4,291,70
24323897,Precioso Loft en Barcelona *Bcn* A03,10547296,Flateli,la Dreta de l'Eixample,41.39851,2.17407,Entire home/apt,32,8,2020-11-07,0.3,69,1,33
19922686,SF11 - Sagrada Familia - 1hab,10704,Weflating,la Sagrada Família,41.40507,2.17292,Entire home/apt,32,0,,,18,347,95
15908298,1 bdr - Stylish Gran Via Suites,336524176,Weflating,la Nova Esquerra de l'Eixample,41.38196,2.1565,Entire home/apt,32,2,2018-11-11,0.05,28,312,100
70099,"Room with a View, Bcn City Center",353987,Alex,el Raval,41.37828,2.1708,Private room,1,370,2021-01-18,3.04,1,365,52
11109269,Quiet room in design flat for business traveler,57386438,Albert,l'Antiga Esquerra de l'Eixample,41.39122,2.14726,Private room,3,13,2020-03-22,0.79,1,49,58
12908145,double bedroom + living room in the center of BCN,70748591,Bibi,la Dreta de l'Eixample,41.39127,2.17569,Private room,2,2,2016-06-26,0.03,2,0,79
138055,🌞Apt best views of Sagrada Familia/Shared terrace,567180,Sandra,la Sagrada Família,41.40653,2.1746,Entire home/apt,3,82,2019-01-06,0.71,19,111,69
47466015,Sant Pau 22,43565515,Homes In Blue,la Sagrada Família,41.4102,2.17642,Entire home/apt,1,0,,,30,364,45
8666693,Library Room 3 Rambla Catalunya,44913823,Karla,la Vila de Gràcia,41.39831,2.1575,Shared room,1,105,2020-02-06,1.62,11,365,18
1406337,Nuevo espacioso apartamento en BCN,2201772,Dimitry,l'Antiga Esquerra de l'Eixample,41.38776,2.15221,Entire home/apt,4,9,2020-01-01,0.1,13,1,320
19774715,"LOVELY ROOM, NEAR SAGRADA FAMILIA!",38775388,Carla,el Baix Guinardó,41.40799,2.16789,Private room,2,149,2020-03-14,3.42,2,180,55
22237949,Modern quiet flat with a large balcony,161380107,Francesc,l'Antiga Esquerra de l'Eixample,41.38539,2.15969,Entire home/apt,1,14,2020-03-09,0.4,15,327,135
21721001,1 bedroom near Plaza España,158023606,Habitat Apartments,Hostafrancs,41.37605,2.14637,Entire home/apt,1,43,2020-08-30,1.53,105,209,90
19421041,Single room in renewed flat in Les Corts,24351095,Xavier,les Corts,41.38553,2.13688,Private room,32,6,2019-08-01,0.18,1,362,16
33004655,Room in GRACIA double bed for short or long,248400141,Aidyn,la Vila de Gràcia,41.40895,2.15549,Private room,20,1,2020-04-06,0.1,1,0,20
26356908,Gay friendly home.,129733757,Oscar,Sant Antoni,41.37579,2.16017,Private room,3,1,2020-01-18,0.08,1,90,20
9038526,Beach Apartment Villa Olimpica,47171261,"Lina, Paola, Ana & Ezequiel",la Vila Olímpica del Poblenou,41.39229,2.19887,Entire home/apt,3,85,2021-02-04,1.32,49,271,125
8032676,PISO MODERNO EN EL EIXAMPLE,33748304,Luis,la Nova Esquerra de l'Eixample,41.37994,2.15525,Entire home/apt,4,133,2020-03-09,2.03,1,252,110
2732115,Lovely apartment en Sagrada Familia,13982632,Rosa M,la Sagrada Família,41.40687,2.17114,Entire home/apt,1,162,2019-12-29,1.95,1,1,71
343972,Magic Fountain B&B WI-FI DOBLE ROOM,1744964,Patricia,la Font de la Guatlla,41.37142,2.14938,Private room,2,7,2015-07-06,0.07,1,0,30
31229425,HABITACIÓN DOUBLE SUPERIOR CON BAÑO PRIVADO,151682532,Inder,la Sagrada Família,41.40633,2.17194,Private room,1,0,,,3,324,70
32432001,Gorgeous & spacious with large terrace *Eixample*,331327228,Sweet Inn,la Dreta de l'Eixample,41.39645,2.17391,Entire home/apt,2,19,2020-09-02,0.82,82,213,103
9251356,Luxury Garden Flat BCN city center,46696994,Gunnar,la Dreta de l'Eixample,41.39005,2.16421,Entire home/apt,4,221,2021-02-03,3.47,5,303,64
17009883,Alquilo habitación,114030562,Rina,l'Antiga Esquerra de l'Eixample,41.38623,2.1608,Private room,31,0,,,1,365,30
289405,MAGIC ROOM IN GÒTIC *1! CENTRE!,1503151,Laia,el Barri Gòtic,41.38178,2.17463,Private room,32,5,2017-08-14,0.05,81,40,33
24589379,Double Room Balcony G Via Breakfast,184993404,Adriana De Buho Boutique Rooms,la Dreta de l'Eixample,41.39105,2.17096,Hotel room,1,0,,,12,309,91
47833590,HT-Dormitorio al cielo desde Barcelona Bunkers,242654269,Treetop,Can Baró,41.41629,2.1612,Private room,32,0,,,5,179,24
14629297,Twin room in new flat,60742588,Imre,el Barri Gòtic,41.3813,2.17955,Private room,1,11,2017-01-31,0.2,1,0,28
14819632,Charming downtown apartment,92639462,Gemma,Sant Antoni,41.38155,2.16147,Entire home/apt,1,160,2020-03-08,2.97,1,179,101
43532612,Apartamento con vista a la Sagrada Familia,3376710,Maria StayBarcelona,la Sagrada Família,41.40391,2.17538,Entire home/apt,32,0,,,60,365,40
34778260,Room 1 with Balcony  in The Born Barcelona  City *,261122794,Carlos,"Sant Pere, Santa Caterina i la Ribera",41.3839,2.18531,Private room,3,0,,,2,364,100
15263886,Double room 15 min metro from the center,97095158,Loretta,Sant Martí de Provençals,41.41807,2.2011,Private room,1,3,2016-12-07,0.06,1,0,40
34305408,Apt Deluxe with breakfast  by Colon EnjoyBCN Apts,258723902,Colon,el Barri Gòtic,41.37775,2.17867,Entire home/apt,1,1,2020-08-03,0.16,4,311,315
23995304,The single room in BCN center,175289193,Alex,el Poble Sec,41.37478,2.1701,Private room,2,69,2020-03-08,2.0,1,270,22
44008268,City Center Classic Apartment BARCELONA,275136349,Younghwa,el Raval,41.38392,2.16787,Private room,30,0,,,1,365,29
37593963,Habitación en alquiler en el barrio del Borne,256930974,Claudia,"Sant Pere, Santa Caterina i la Ribera",41.38676,2.17891,Private room,32,1,2019-09-11,0.06,9,365,25
42875077,spacious 3 bedroom apartment in Sants all included,265193861,Joaquim,Sants,41.37493,2.13549,Entire home/apt,7,3,2020-12-29,0.46,146,271,37
9688838,Estudio en el casco antiguo. Alquiler mensual,10180380,Rosa,"Sant Pere, Santa Caterina i la Ribera",41.38321,2.18125,Entire home/apt,32,6,2020-08-28,0.12,3,285,35
32886768,Apartment Barcelona with Swimming Pool near the center,171236207,My Space,el Putxet i el Farró,41.40584,2.14728,Entire home/apt,1,0,,,73,200,80
42580529,Single bedroom in Eixample 10min to the center,24385068,현우,la Nova Esquerra de l'Eixample,41.38361,2.15306,Private room,2,0,,,1,0,35
13263775,Cozy double room close to center,52107672,Alina,el Poble Sec,41.37167,2.16331,Private room,1,3,2017-10-04,0.05,1,0,40
14099561,"Friendly, central room, with private bathroom",82269614,Simon,el Raval,41.37645,2.17202,Private room,1,122,2018-06-08,2.21,1,0,35
41869250,Gotic close to Barceloneta beach 181 nights  2/P2,269026149,Ramon,el Barri Gòtic,41.37876,2.17741,Entire home/apt,180,0,,,21,364,80
45148019,Big bedroom with balcony steps  Plaza Cataluña,265193861,Joaquim,"Sant Pere, Santa Caterina i la Ribera",41.38709,2.17491,Private room,30,0,,,146,62,18
29649635,Sagrada Família Barcelona,10345559,Sergi,la Sagrada Família,41.40604,2.17144,Entire home/apt,1,128,2021-02-08,4.67,1,331,30
34729414,ALGUERA Apartments-  3 Bedroom apartment for 6 pax,261933756,Alguera Napols,la Dreta de l'Eixample,41.39689,2.17724,Entire home/apt,1,23,2020-08-14,1.14,8,365,10005
32657502,Illuminated double bedroom,40846212,Àlex,el Putxet i el Farró,41.41058,2.14531,Private room,2,45,2020-08-15,1.91,4,179,20
829660,Charming & very cosy Atico w/Wifi,1200218,Pv,Sant Antoni,41.37721,2.16163,Entire home/apt,2,270,2020-01-13,2.74,1,248,189
22331093,Gin-House,5803360,Valentina,la Sagrada Família,41.40096,2.1748,Private room,2,0,,,1,0,25
11737208,Sants Estación Robrenyo 33  1A,17532317,Hospitality Apartment Management Sl,Sants,41.38167,2.13785,Entire home/apt,2,211,2020-03-21,3.58,7,359,75
22306310,COMFORTABLE APARTMENT CLOSE TO BUNKERS DEL CARMEL!,8101364,Emilio Natali,el Guinardó,41.41777,2.16902,Entire home/apt,1,106,2020-11-30,2.8,3,361,48
