id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
27698060,Spacious Room in las Ramblas,79237707,Borja,el Barri Gòtic,41.37957,2.17762,Private room,2,45,2020-07-17,1.5,4,365,365.0
23578104,2 habitaciones  ParcGüell 4 huéspedes,12527853,David,Vallcarca i els Penitents,41.41358,2.1488,Private room,2,16,2019-08-23,0.46,5,178,178.0
44012068,Beautiful studio with private terrasse. A/C,10044989,Vincent,el Poble Sec,41.37201,2.15721,Entire home/apt,5,7,2021-01-16,0.99,11,17,17.07
17580211,Habitación Doble con terraza en piso compartido!,36607755,Igor,la Dreta de l'Eixample,41.39841,2.16191,Private room,32,0,,,97,194,194.0
35073940,Marvelous room in a wonderful flat to share,264209875,Diana,Sants,41.37418,2.14072,Private room,5,20,2020-01-29,0.99,2,0,0.0
42924161,AB Casa Saltor - Ref. GI2170,170716140,Robbie&Kay,l'Antiga Esquerra de l'Eixample,41.38367,2.16032,Entire home/apt,32,0,,,182,210,209.92
32122525,Apart in the Gothic Quarter in Barcelona centre,171236207,My Space,el Barri Gòtic,41.381,2.1816,Entire home/apt,1,0,,,73,156,156.1
42063444,Sunny Apartment With Views To The Sagrada Familia,5971483,Paula,la Dreta de l'Eixample,41.39761,2.1697,Private room,2,1,2020-02-25,0.09,1,89,89.0
32637007,Sunny apartment near Sagrada Familia,20726321,Mª Teresa,el Camp de l'Arpa del Clot,41.41062,2.17889,Entire home/apt,30,5,2020-03-01,0.25,1,365,365.0
6254282,Stanza con bagno Barcellona Centro.,2690440,Sara,el Poble Sec,41.37455,2.15658,Private room,30,6,2015-09-13,0.09,3,255,255.0
24281016,Habitación en Barcelona,182670626,Maria,la Prosperitat,41.44602,2.18331,Private room,2,35,2018-10-08,1.04,1,0,0.0
41292430,Room at Raval near macba,320735513,Joan Sebastián,el Raval,41.38227,2.16541,Private room,1,0,,,1,179,179.0
940374,New apartment near Sagrada Familia,5082480,Francesco,el Clot,41.41069,2.18888,Entire home/apt,3,361,2020-07-24,3.76,1,193,192.93
20704768,Cosy room in relaxed Poblenou neighborhood,36981460,Mariano,el Poblenou,41.40299,2.2088,Private room,2,0,,,1,0,0.0
14412773,Comfortable room in sants station for 2 solo mujer,88465976,Damian,Sants,41.37352,2.13809,Private room,1,1,2017-04-30,0.02,1,0,0.0
13962988,,7341655,Natalia,Sant Antoni,41.38344,2.16283,Private room,2,11,2019-05-22,0.2,1,0,0.0
40443019,Room with Private Bathroom in the Gothic Quarter,312538029,Nomads Coliving,"Sant Pere, Santa Caterina i la Ribera",41.38677,2.17569,Private room,31,1,2020-03-16,0.09,25,26,25.76
33216922,MODERNISM AND LUXURY IN BARCELONA CENTER,250093014,B&F Granados,l'Antiga Esquerra de l'Eixample,41.38993,2.1582,Entire home/apt,32,3,2020-05-31,0.2,13,194,194.01
